Titel,Auteur,Tags,Locatie,Goodreads Link,Graad,ISBN,Link coverafbeelding
Vuurkraal,Noëlle Elpers,"historisch, familie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/15837547,Tweede graad,9789047517016,
Straatkatten,Mieke van Hooft,"misdaad, spanning, vriendschap",Boektoppers,https://www.goodreads.com/book/show/15850097,Eerste graad,9789025107420,
Robinson Crusoë,Daniel Defoe,"klassieker, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/158979994,Eerste graad,9789059081802,
Aandenken,Unknown Author,"familie, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/159573188,Eerste graad,9789023436423,
Rotmoevie,Marian De Smet,"queer, coming of age, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/15983640,Tweede graad,9789048813469,
De valeriusmoorden,Paul Kustermans,"misdaad, mysterie, spanning",Boektoppers,https://www.goodreads.com/book/show/16007807,Tweede graad,9789044817249,
Anna Was hier,Gerda De Preter,"familie, drama, identiteit",Boektoppers,https://www.goodreads.com/book/show/16014528,Tweede graad,9789045108483,
Vermoord het verleden,Jonas Boets,"spanning, mysterie, misdaad",Boektoppers,https://www.goodreads.com/book/show/16022065,Tweede graad,9789460412615,
Veronderstellingen,Annelies Verbeke,"familie, drama, identiteit",Boektoppers,https://www.goodreads.com/book/show/16026562,Tweede graad,9789044526172,
Noodweer,Suzanne Fisher Staples,"avontuur, natuur, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/16028479,Tweede graad,9789056371067,
Ik dacht dat het ergste nog moest komen: (maar dat was niet zo),Brigitte Minne,"familie, humor, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/16041974,Eerste graad,9789058385819,
Little black spiders,Ina Vandewijer,"historisch, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/16057981,Tweede graad,9789059084391,
Malou van de Mussen,Noëlla Elpers,"familie, drama, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/16090998,Eerste graad,9789000304905,
Bisjou,Guy Didelez,"humor, vriendschap, avontuur",Boektoppers,https://www.goodreads.com/book/show/16092637,Eerste graad,9789059328303,
Charlie Wallace,Stan van Elderen,"young adult, vriendschap, spanning, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/16121314,Eerste graad,9789046800997,
